,,11/27 12:00,11/27 14:00,11/27 16:00,11/27 18:00,11/27 20:00,11/27 21:00,11/28 12:00,11/28 14:00,11/28 16:00,11/28 17:00,11/28 18:00,11/28 20:00,11/28 21:00,11/28 22:00,11/28 24:00
학생회장단 선거 총 투표율,,3.245294,9.411765,12.205882352941176,14.558823529411766,23.52941176470588,32.64705882352941,34.85294117647059,38.23529411764706,40.0,42.5,44.41176470588235,45.88235294117647,48.38235294117647,51.911764705882355,56.029411764705884
학생회장단 선거 14학번 투표율,,2.173913,5.072464,5.072463768115942,8.695652173913043,10.869565217391305,16.666666666666664,18.84057971014493,24.637681159420293,25.36231884057971,26.811594202898554,30.434782608695656,30.434782608695656,30.434782608695656,34.05797101449276,39.130434782608695
학생회장단 선거 15학번 투표율,,5.649718,11.299436,15.254237288135593,17.045454545454543,18.75,19.318181818181817,22.727272727272727,27.84090909090909,31.25,32.38636363636363,35.22727272727273,38.06818181818182,40.909090909090914,45.45454545454545,49.43181818181818
학생회장단 선거 16학번 투표율,,2.380952,8.928571,11.904761904761903,16.071428571428573,25.595238095238095,36.30952380952381,39.285714285714285,40.476190476190474,42.26190476190476,48.214285714285715,49.404761904761905,49.404761904761905,53.57142857142857,59.523809523809526,64.88095238095238
학생회장단 선거 17학번 투표율,,2.438071,11.166513,14.720812182741117,15.228426395939088,35.025380710659896,52.79187817258884,53.299492385786806,55.32994923857868,56.34517766497462,57.868020304568525,58.37563451776649,60.913705583756354,63.45177664974619,63.95939086294417,66.49746192893402
